"Merk & Model";"Bouwjaar";"Uitvoering";"Kenteken";"APK tot";"Brandstof";"Kilometerstand";"Transmissie";"Verbruik";"Prijs";"Topsnelheid";"Kosten p/m";"Opties";"Aantal deuren";"Wegenbelasting";"Reparaties en onderhoud";"Banden";"Brandstof verbruik / maand";"Totale kosten per maand";"Per jaar";"APK vervaldatum";"Aantal eigenaren tot en met nu";"Nieuwprijs vanaf";"Gemiddeld brandstof verbruik";"Remmen voor";"Remmen achter";"url"
"Toyota Yaris";"2012";"1.0 VVT-i Comfort";"1-XNJ-42";"27 januari 2020";"Benzine";"65.684 km";"Handgeschakeld 5 versnellingen";"20,83";"6.950,00";"155 km/h";"144,69";"Startonderbreker , Boordcomputer , Centralevergrendeling , Elektrischebuitenspiegels , USB , Elektrischeramen , ABS , ElectronicStabilityProgram(ESP) , Airbags , Isofix , Radio , Trekhaak , Metalliclak";"5";"27,33";"36,61";"5,38";"75,37";"144,69";"1.736,40";"27 januari 2020";"1";"11.479,00";"20,83";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/toyota/m1362732270-toyota-yaris-1-0-vvt-i-comfort-5deurs-centraal-elec-nwtype-6.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Fiat PUNTO";"2013";"0.9 TWINAIR POP  ZEER NETTE AUTO  LAGE KILOMETERSTAND";"5-KJH-13";"29 april 2019";"Benzine";"68.689 km";"Handgeschakeld 6 versnellingen";"23,81";"6.395,00";"172 km/h";"152,53";"Startonderbreker , Boordcomputer , Centralevergrendeling , Elektrischebuitenspiegels , Airconditioning , Elektrischeramen , ABS , Airbags , Radio , Lichtmetalenvelgen , Trekhaak";"5";"43,33";"37,00";"6,25";"65,95";"152,53";"1.830,36";"29 april 2019";"3";"16.882,00";"23,81";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/fiat/m1356842589-fiat-punto-0-9-twinair-pop-zeer-nette-auto-lage-kilometer.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Fiat Punto";"2012";"0.9 twinair easy 85pk/5-D/ECC/lm velgen/6 versn.";"94-XVS-1";;"Benzine";"65.998 km";"Handgeschakeld 6 versnellingen";"23,81";"6.845,00";"172 km/h";"154,15";"CruiseControl , Boordcomputer , Climatecontrol , Centralevergrendeling , Elektrischebuitenspiegels , Airconditioning , Traction-control , Verwarmdebuitenspiegels , Elektrischeramen , ABS , Mistlampen , Airbags , Radio , Lichtmetalenvelgen , Metalliclak";"5";"43,33";"38,61";"6,25";"65,95";"154,15";"1.849,80";;"2";"16.664,00";"23,81";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/fiat/m1357152684-fiat-punto-0-9-twinair-easy-85pk-5-d-ecc-lm-velgen-6-versn.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Fiat Punto Evo";"2013";"0.9 TwinAir Easy";"62-ZVS-8";"28 februari 2019";"Benzine";"50.618 km";"Handgeschakeld 6 versnellingen";"23,81";"6.995,00";"172 km/h";"152,90";"CruiseControl , Startonderbreker , Boordcomputer , Climatecontrol , Centralevergrendeling , Elektrischebuitenspiegels , Airconditioning , Verwarmdebuitenspiegels , Elektrischeramen , ABS , Airbags , Alarm , Radio , Lichtmetalenvelgen";"5";"43,33";"37,00";"6,62";"65,95";"152,90";"1.834,80";"28 februari 2019";"2";"17.748,00";"23,81";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/fiat/m1365650271-fiat-punto-evo-0-9-twinair-easy-bj-2013.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Hyundai i20";"2013";"1.2i";"-";;"Benzine";"124.814 km";"Handgeschakeld";"21,28";"6.450,00";"-";"-";"Startonderbreker , Centralevergrendeling , Elektrischebuitenspiegels , Airconditioning , Verwarmdebuitenspiegels , Elektrischeramen , ABS , Mistlampen , ElectronicStabilityProgram(ESP) , Airbags , Alarm , Radio , Metalliclak";;;;;;;;;;;;;;"https://www.marktplaats.nl/a/auto-s/hyundai/m1357057868-hyundai-i20-1-2i-airco-elecramen-bj-2013.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Kia Rio";"2012";"1.2 Comfort Pack, Airco, Elek. Ramen.";"12-TXJ-1";;"Benzine";"100.287 km";"Handgeschakeld 5 versnellingen";"20,83";"6.750,00";"172 km/h";"156,19";"Centralevergrendeling , Airconditioning , Start-stop-systeem , Traction-control , Verwarmdebuitenspiegels , Elektrischeramen , ABS , ElectronicStabilityProgram(ESP) , Airbags , Isofix , Alarm , Radio";"3";"35,33";"38,50";"7,00";"75,37";"156,19";"1.874,40";;"2";"13.190,00";"20,83";"-";"-";"https://www.marktplaats.nl/a/auto-s/kia/m1360405552-kia-rio-1-2-comfort-pack-airco-elek-ramen.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Lancia Ypsilon";"2014";"0.9 TWINAIR ELEFANTINO";"4-XPN-11";"30 september 2018";"Benzine";"71.350 km";"Handgeschakeld 5 versnellingen";"26,32";"6.995,00";"174 km/h";"132,88";"Emergencybrakeassist , Startonderbreker , Centralevergrendeling , Navigatiesysteem , Elektrischebuitenspiegels , Airconditioning , Start-stop-systeem , Traction-control , Parkeersensor , Elektrischeramen , ABS , ElectronicStabilityProgram(ESP) , Airbags , Alarm , Radio , Metalliclak";"5";"27,33";"35,50";"10,38";"59,67";"132,88";"1.594,56";"30 september 2018";"2";"14.395,00";"26,32";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/lancia/m1365546824-lancia-ypsilon-0-9-twinair-elefantino-bj-2014.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Renault Clio";"2013";"0.9 TCe Expression Airco 5Deurs";"66-ZNX-4";"11 augustus 2019";"Benzine";"133.305 km";"Handgeschakeld 5 versnellingen";"23,26";"6.995,00";"185 km/h";"149,22";"CruiseControl , Startonderbreker , Boordcomputer , Centralevergrendeling , Navigatiesysteem , Elektrischebuitenspiegels , Airconditioning , Start-stop-systeem , Traction-control , Elektrischeramen , ABS , ElectronicStabilityProgram(ESP) , Airbags , Alarm , Radio";"5";"35,33";"38,88";"7,50";"67,52";"149,22";"1.790,76";"11 augustus 2019";"2";"16.980,00";"23,26";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/renault/m1364157919-renault-clio-0-9-tce-expression-airco-5deurs.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Suzuki Swift";"2008";"1.3 Exclusive Airco! Key-less Entry/Start! 99dkm NAP!";"-";"13 december 2019";"Benzine";"99.998 km";"Handgeschakeld";"21,28";"4.950,00";"-";"-";"Emergencybrakeassist , Startonderbreker , Centralevergrendeling , Elektrischebuitenspiegels , Airconditioning , Verwarmdebuitenspiegels , Elektrischeramen , ABS , Mistlampen , Airbags , Radio , Lichtmetalenvelgen , Metalliclak";;;;;;;;;;;;;;"https://www.marktplaats.nl/a/auto-s/suzuki/m1360115161-suzuki-swift-1-3-exclusive-airco-key-less-entry-start-99dk.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Nissan Note";"2013";"1.2 KEY LESS CLIMA NAVIGATIE VERSTRALERS";"5-SNP-15";"12 november 2019";"Benzine";"167.570 km";"Handgeschakeld 5 versnellingen";"21,28";"6.999,00";"170 km/h";"152,13";"CruiseControl , Startonderbreker , Boordcomputer , Climatecontrol , Centralevergrendeling , Navigatiesysteem , Elektrischebuitenspiegels , Airconditioning , Start-stop-systeem , Verwarmdebuitenspiegels , Elektrischeramen , ABS , Mistlampen , ElectronicStabilityProgram(ESP) , Airbags , Alarm , Radio , Lichtmetalenvelgen";"5";"35,33";"36,61";"6,38";"73,80";"152,13";"1.825,56";"12 november 2019";"1";"16.490,00";"21,28";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/nissan/m1360963658-nissan-note-1-2-key-less-clima-navigatie-verstralers.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Volkswagen Golf";"2006";"1.4 55kw higline,VEEL OPTIE`S, 60 AUTO OP SITE";"TR-605-R";"03 juni 2019";"Benzine";"136.000 km";"Handgeschakeld 5 versnellingen";"26,32";"4.749,00";"171 km/h";"-";"Metalliclak , CruiseControl , Startonderbreker , Boordcomputer , Climatecontrol , Centralevergrendeling , Elektrischebuitenspiegels , Airconditioning , Verwarmdebuitenspiegels , Elektrischeramen , ABS , Mistlampen , Airbags , Alarm , Stoelverwarming , Radio , Lichtmetalenvelgen";"5";"-";"-";"-";"-";"-";"-";"03 juni 2019";"1";"18.135,00";"26,32";"-";"-";"https://www.marktplaats.nl/a/auto-s/volkswagen/m1362147750-volkswagen-golf-1-4-55kw-higline-veel-optie-s-60-auto-op-si.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
